"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"1";"50R";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";
"1";"BFG403W";"BFG403W";"SOT343R";"Q1";"";"";"";"";"";"";
"2";"CAP CER 0.1UF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C12, C17";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 10000PF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"CAP CER 100PF C0G 0402";"C-EUC0402";"C0402";"C4, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 10NF C0G 0402";"C-EUC0402";"C0402";"C1";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"CAP CER 10PF C0G 0402";"C-EUC0402";"C0402";"C5, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"CAP CER 10UF 16V X7R 0805 20%";"C-EUC0805";"C0805";"C13, C16";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 15PF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C15";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 1NF C0G 0402";"C-EUC0402";"C0402";"C7";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 2.4PF C0G 0402";"C-EUC0402";"C0402";"C2";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 2.7PF C0G 0402";"C-EUC0402";"C0402";"C6";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 8.2PF C0G 0402";"C-EUC0402";"C0402";"C3";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"GND";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP2";"";"";"";"";"";"";
"1";"IN";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X1";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";
"1";"IND 20NF 0402";"L-EU0402";"R0402";"L1";"INDUCTOR, European symbol";"";"";"";"";"";
"1";"IND 24NF 0402";"L-EU0402";"R0402";"L2";"INDUCTOR, European symbol";"";"";"";"";"";
"4";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";
"1";"OUT";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X2";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";
"1";"PWR";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X3";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";
"1";"RES SMD 1.4K OHM 1% 1/10W 0402";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"";"";"";"";
"2";"RES SMD 1.6K OHM 1% 1/10W 0402";"R-EU_R0402";"R0402";"R1, R3";"RESISTOR, European symbol";"";"";"";"";"";
"1";"RES SMD 30.1K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"";"";"";"";
"1";"RES SMD 51K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";"";"";
"1";"TPS73001";"TPS73001";"SOT23-6L";"IC1";"";"";"";"";"";"TPS73001";
"1";"VDD";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP1";"";"";"";"";"";"";
